sep=\t
Module Resource Usage Distribution Estimates
Generated at: Jun 16, 2026 17:55:25

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	          FFs	      SRLs	       ADDs	         LUTs	    COMB4s	      RAMs	 DSP/MULTs
        +async_clk.wr2rd_addr_sync:efx_asyncreg_3eea493c411e46ef9fe73ece6fe11651(WIDTH=13,ACTIVE_LOW=0,OFF_ASSERTION=1)	      26(26)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
        +async_clk.wr2rd_gray2bin:efx_fifo_gray2bin_3eea493c411e46ef9fe73ece6fe11651(WIDTH=13)	        0(0)	     0(0)	      0(0)	       12(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3eea493c411e46ef9fe73ece6fe11651(WIDTH=12)	        0(0)	     0(0)	      0(0)	       11(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3eea493c411e46ef9fe73ece6fe11651(WIDTH=11)	        0(0)	     0(0)	      0(0)	       10(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3eea493c411e46ef9fe73ece6fe11651(WIDTH=10)	        0(0)	     0(0)	      0(0)	        9(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3eea493c411e46ef9fe73ece6fe11651(WIDTH=9)	        0(0)	     0(0)	      0(0)	        8(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3eea493c411e46ef9fe73ece6fe11651(WIDTH=8)	        0(0)	     0(0)	      0(0)	        7(1)	     0(0)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3eea493c411e46ef9fe73ece6fe11651(WIDTH=7)	        0(0)	     0(0)	      0(0)	        6(1)	     0(0)	     0(0)	     0(0)	
               +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3eea493c411e46ef9fe73ece6fe11651(WIDTH=6)	        0(0)	     0(0)	      0(0)	        5(1)	     0(0)	     0(0)	     0(0)	
                +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3eea493c411e46ef9fe73ece6fe11651	        0(0)	     0(0)	      0(0)	        4(1)	     0(0)	     0(0)	     0(0)	
                 +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3eea493c411e46ef9fe73ece6fe11651(WIDTH=4)	        0(0)	     0(0)	      0(0)	        3(1)	     0(0)	     0(0)	     0(0)	
                  +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3eea493c411e46ef9fe73ece6fe11651(WIDTH=3)	        0(0)	     0(0)	      0(0)	        2(1)	     0(0)	     0(0)	     0(0)	
                   +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_3eea493c411e46ef9fe73ece6fe11651(WIDTH=2)	        0(0)	     0(0)	      0(0)	        1(1)	     0(0)	     0(0)	     0(0)	
  +u2_i2c_master_ctrl_top:i2c_master_ctrl_top               	      200(0)	     0(0)	     17(0)	      331(0)	     0(0)	     2(0)	     0(0)	
   +u_reg_set:i2c_master_reg_set(DATA_LENGTH=161,I2C_DEVICE_ADDR=8'b01100000)	      14(14)	     0(0)	      0(0)	      22(22)	     0(0)	     2(0)	     0(0)	
    +u_user_rom:i2c_master_reg_rom(TOTAL_ROM_DEPTH=161)     	        0(0)	     0(0)	      0(0)	        0(0)	     0(0)	     2(2)	     0(0)	
   +u_i2c_ctrl:i2c_16addr_8data(CLK_DIV=16'b0100000)        	      51(51)	     0(0)	      0(0)	    111(111)	     0(0)	     0(0)	     0(0)	
   +i2c_top_inst:i2c_master_top                             	     135(53)	     0(0)	     17(0)	     198(64)	     0(0)	     0(0)	     0(0)	
    +byte_controller:i2c_master_byte_ctrl                   	      82(24)	     0(0)	     17(0)	     134(54)	     0(0)	     0(0)	     0(0)	
     +bit_controller:i2c_master_bit_ctrl                    	      58(58)	     0(0)	    17(17)	      80(80)	     0(0)	     0(0)	     0(0)	
  +vid_info_det_inst:vid_info_det(CLK_FREQ=32'b0100001011000001110110000000)	    159(159)	     0(0)	    54(54)	    106(106)	     0(0)	     0(0)	     0(0)	
 +u_frame_buffer:frame_buffer(O_VID_WIDTH=16,WR_FIFO_DEPTH=256,RD_FIFO_DEPTH=256,BURST_LEN=63)	     2564(5)	     0(0)	    489(0)	     1249(1)	     0(0)	    61(0)	     0(0)	
  +rst_n_piple_inst:rst_n_piple                             	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
  +rst_n_o_clk:rst_n_piple                                  	        3(3)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
  +u_vid_rx_align:vid_rx_align_v1(I_VID_WIDTH=32,AXI_DDR_WIDTH=512)	      761(0)	     0(0)	     44(0)	       85(0)	     0(0)	     0(0)	     0(0)	
   +u_frame_info_det:frame_info_det(I_VID_WIDTH=32,AXI_DDR_WIDTH=512)	    109(109)	     0(0)	    44(44)	      69(69)	     0(0)	     0(0)	     0(0)	
   +ser2par_24_128_inst:ser2par_24_128_v1(I_VID_WIDTH=32)   	    135(135)	     0(0)	      0(0)	        8(8)	     0(0)	     0(0)	     0(0)	
   +ser2par_inst:ser2par(O_VID_WIDTH=512)                   	    517(517)	     0(0)	      0(0)	        8(8)	     0(0)	     0(0)	     0(0)	
  +u_ddr_buffer:ddr_buffer(AXI_ADDR_WIDTH=33,WR_FIFO_DEPTH=256,RD_FIFO_DEPTH=256,I_VID_WIDTH=32,START_ADDR=33'b0,BURST_LEN=63)	      956(0)	     0(0)	    338(0)	      448(0)	     0(0)	    26(0)	     0(0)	
   +ddr_wr_buffer_inst:ddr_wr_buffer(AXI_ADDR_WIDTH=33,WR_FIFO_DEPTH=256,BURST_LEN=63,AXI_STRB_WIDTH=64,AXSIZE_WTH=6,WR_USEDW_WITH=8)	    277(163)	     0(0)	  174(141)	    299(231)	     0(0)	    26(0)	     0(0)	
    +u_wr_fifo:DC_FIFO(DATA_WIDTH=512,FIFO_DEPTH=256)       	      114(0)	     0(0)	     33(0)	       68(0)	     0(0)	    26(0)	     0(0)	
     +DC_FIFO_inst:elt_dcfifo(NUM_WORDS=256,WIDTH=512,ALMOST_FULL_VALUE=255,ALMOST_EMPTY_VALUE=1)	     114(34)	     0(0)	    33(16)	      68(10)	     0(0)	    26(0)	     0(0)	
      +wr_adder:add_a_b_s0_s1(SIZE=8)                       	        0(0)	     0(0)	      9(9)	      15(15)	     0(0)	     0(0)	     0(0)	
      +rd_adder:add_a_b_s0_s1(SIZE=8)                       	        0(0)	     0(0)	      8(8)	      15(15)	     0(0)	     0(0)	     0(0)	
      +rd_b2g:binary_to_gray(WIDTH=8)                       	        8(8)	     0(0)	      0(0)	        7(7)	     0(0)	     0(0)	     0(0)	
      +rd2wr:synchronizer_ff_r2                             	      24(24)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +rd_g2b:gray_to_binary(WIDTH=8)                       	        8(8)	     0(0)	      0(0)	        7(7)	     0(0)	     0(0)	     0(0)	
      +wr_b2g:binary_to_gray(WIDTH=8)                       	        8(8)	     0(0)	      0(0)	        7(7)	     0(0)	     0(0)	     0(0)	
      +wr2rd:synchronizer_ff_r2                             	      24(24)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
      +wr_g2b:gray_to_binary(WIDTH=8)                       	        8(8)	     0(0)	      0(0)	        7(7)	     0(0)	     0(0)	     0(0)	
      +mlab_inst:generic_mem_dc(WIDTH=512,ADDR_WIDTH=8)     	        0(0)	     0(0)	      0(0)	        0(0)	     0(0)	   26(26)	     0(0)	
   +ddr_rd_buffer_inst:ddr_rd_buffer(BURST_LEN=63,AXI_STRB_WIDTH=64,AXI_BURST_WIDTH=6,AXSIZE_WTH=6)	    663(663)	     0(0)	  164(164)	    140(140)	     0(0)	     0(0)	     0(0)	
   +u_bank_sw:bank_switch(FB_NUM=3,ADDR_WIDTH=33,START_ADDR=33'b0,VID_DATA_WIDTH=32,AXI_DATA_WIDTH=512)	      16(16)	     0(0)	      0(0)	        9(9)	     0(0)	     0(0)	     0(0)	
  +fifo_d512t128_inst:fifo_d512t128(RD_FIFO_DEPTH=256)      	      364(2)	     0(0)	     66(0)	      403(7)	     0(0)	    33(0)	     0(0)	
   +u_rd_fifo:DC_FIFO(DATA_WIDTH=512,FIFO_DEPTH=256)        	      114(0)	     0(0)	     33(0)	       66(0)	     0(0)	    26(0)	     0(0)	
    +DC_FIFO_inst:elt_dcfifo(NUM_WORDS=256,WIDTH=512,ALMOST_FULL_VALUE=255,ALMOST_EMPTY_VALUE=1)	     114(34)	     0(0)	    33(16)	       66(8)	     0(0)	    26(0)	     0(0)	
     +wr_adder:add_a_b_s0_s1(SIZE=8)                        	        0(0)	     0(0)	      9(9)	      15(15)	     0(0)	     0(0)	     0(0)	
     +rd_adder:add_a_b_s0_s1(SIZE=8)                        	        0(0)	     0(0)	      8(8)	      15(15)	     0(0)	     0(0)	     0(0)	
     +rd_b2g:binary_to_gray(WIDTH=8)                        	        8(8)	     0(0)	      0(0)	        7(7)	     0(0)	     0(0)	     0(0)	
     +rd2wr:synchronizer_ff_r2                              	      24(24)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +rd_g2b:gray_to_binary(WIDTH=8)                        	        8(8)	     0(0)	      0(0)	        7(7)	     0(0)	     0(0)	     0(0)	
     +wr_b2g:binary_to_gray(WIDTH=8)                        	        8(8)	     0(0)	      0(0)	        7(7)	     0(0)	     0(0)	     0(0)	
     +wr2rd:synchronizer_ff_r2                              	      24(24)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +wr_g2b:gray_to_binary(WIDTH=8)                        	        8(8)	     0(0)	      0(0)	        7(7)	     0(0)	     0(0)	     0(0)	
     +mlab_inst:generic_mem_dc(WIDTH=512,ADDR_WIDTH=8)      	        0(0)	     0(0)	      0(0)	        0(0)	     0(0)	   26(26)	     0(0)	
   +par2ser_512t128_inst:par2ser_512t128(O_VID_WIDTH=128)   	    134(134)	     0(0)	      0(0)	    266(266)	     0(0)	     0(0)	     0(0)	
   +u_rd_fifo1:DC_FIFO(FIFO_DEPTH=256)                      	      114(0)	     0(0)	     33(0)	       64(0)	     0(0)	     7(0)	     0(0)	
    +DC_FIFO_inst:elt_dcfifo(NUM_WORDS=256,ALMOST_FULL_VALUE=255,ALMOST_EMPTY_VALUE=1)	     114(34)	     0(0)	    33(16)	       64(6)	     0(0)	     7(0)	     0(0)	
     +wr_adder:add_a_b_s0_s1(SIZE=8)                        	        0(0)	     0(0)	      9(9)	      15(15)	     0(0)	     0(0)	     0(0)	
     +rd_adder:add_a_b_s0_s1(SIZE=8)                        	        0(0)	     0(0)	      8(8)	      15(15)	     0(0)	     0(0)	     0(0)	
     +rd_b2g:binary_to_gray(WIDTH=8)                        	        8(8)	     0(0)	      0(0)	        7(7)	     0(0)	     0(0)	     0(0)	
     +rd2wr:synchronizer_ff_r2                              	      24(24)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +rd_g2b:gray_to_binary(WIDTH=8)                        	        8(8)	     0(0)	      0(0)	        7(7)	     0(0)	     0(0)	     0(0)	
     +wr_b2g:binary_to_gray(WIDTH=8)                        	        8(8)	     0(0)	      0(0)	        7(7)	     0(0)	     0(0)	     0(0)	
     +wr2rd:synchronizer_ff_r2                              	      24(24)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +wr_g2b:gray_to_binary(WIDTH=8)                        	        8(8)	     0(0)	      0(0)	        7(7)	     0(0)	     0(0)	     0(0)	
     +mlab_inst:generic_mem_dc(WIDTH=128,ADDR_WIDTH=8)      	        0(0)	     0(0)	      0(0)	        0(0)	     0(0)	     7(7)	     0(0)	
  +u_par2ser_parse:par2ser_parse(VID_WIDTH=16,AXI_DATA_WIDTH=128)	      266(0)	     0(0)	      0(0)	      142(0)	     0(0)	     0(0)	     0(0)	
   +u_par2ser_128_16:vid_par2ser(O_VID_WIDTH=16)            	    266(266)	     0(0)	      0(0)	    142(142)	     0(0)	     0(0)	     0(0)	
  +u_data_tx:data_tx(FIFO_DIPTH=1024,FIFO_ALMOST_FULL=960)  	     207(65)	     0(0)	     41(0)	     170(87)	     0(0)	     2(0)	     0(0)	
   +u_rd_fifo:DC_FIFO(DATA_WIDTH=16,FIFO_DEPTH=1024)        	      142(0)	     0(0)	     41(0)	       83(0)	     0(0)	     2(0)	     0(0)	
    +DC_FIFO_inst:elt_dcfifo(NUM_WORDS=1024,WIDTH=16,ALMOST_FULL_VALUE=1023,ALMOST_EMPTY_VALUE=1)	     142(42)	     0(0)	    41(20)	       83(9)	     0(0)	     2(0)	     0(0)	
     +wr_adder:add_a_b_s0_s1(SIZE=10)                       	        0(0)	     0(0)	    11(11)	      19(19)	     0(0)	     0(0)	     0(0)	
     +rd_adder:add_a_b_s0_s1(SIZE=10)                       	        0(0)	     0(0)	    10(10)	      19(19)	     0(0)	     0(0)	     0(0)	
     +rd_b2g:binary_to_gray(WIDTH=10)                       	      10(10)	     0(0)	      0(0)	        9(9)	     0(0)	     0(0)	     0(0)	
     +rd2wr:synchronizer_ff_r2(WIDTH=10)                    	      30(30)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +rd_g2b:gray_to_binary(WIDTH=10)                       	      10(10)	     0(0)	      0(0)	        9(9)	     0(0)	     0(0)	     0(0)	
     +wr_b2g:binary_to_gray(WIDTH=10)                       	      10(10)	     0(0)	      0(0)	        9(9)	     0(0)	     0(0)	     0(0)	
     +wr2rd:synchronizer_ff_r2(WIDTH=10)                    	      30(30)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
     +wr_g2b:gray_to_binary(WIDTH=10)                       	      10(10)	     0(0)	      0(0)	        9(9)	     0(0)	     0(0)	     0(0)	
     +mlab_inst:generic_mem_dc(WIDTH=16,ADDR_WIDTH=10)      	        0(0)	     0(0)	      0(0)	        0(0)	     0(0)	     2(2)	     0(0)	
 +uw_axi_interconnect:axi_interconnect(S_COUNT=1,DATA_WIDTH=512,ADDR_WIDTH=33)	  1080(1079)	     0(0)	      9(9)	    562(561)	     0(0)	     0(0)	     0(0)	
  +arb_inst:arbiter(PORTS=2,TYPE="ROUND_ROBIN",BLOCK="ACKNOWLEDGE",LSB_PRIORITY="HIGH")	        1(1)	     0(0)	      0(0)	        1(1)	     0(0)	     0(0)	     0(0)	
 +ur_axi_interconnect:axi_interconnect(S_COUNT=1,DATA_WIDTH=512,ADDR_WIDTH=33)	    559(558)	     0(0)	      9(9)	    573(572)	     0(0)	     0(0)	     0(0)	
  +arb_inst:arbiter(PORTS=2,TYPE="ROUND_ROBIN",BLOCK="ACKNOWLEDGE",LSB_PRIORITY="HIGH")	        1(1)	     0(0)	      0(0)	        1(1)	     0(0)	     0(0)	     0(0)	
 +debayer_top:debayer_top_2to1                              	      370(0)	     0(0)	    125(0)	      299(0)	     0(0)	     4(0)	     0(0)	
  +inst_rgb_gain:rgb_gain(P_DEPTH=8,PW=16)                  	      18(18)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
  +inst_line_buffer_debayer:line_buffer(P_DEPTH=8,X_CNT_WIDTH=10)	      47(47)	     0(0)	      9(9)	        4(4)	     0(0)	     4(0)	     0(0)	
   +inst_y_buffer:true_dual_port_ram(DATA_WIDTH=16,ADDR_WIDTH=11,OUTPUT_REG_1="TRUE",OUTPUT_REG_2="TRUE",RAM_INIT_FILE="")	        0(0)	     0(0)	      0(0)	        0(0)	     0(0)	     4(4)	     0(0)	
  +inst_raw_to_rgb:raw_to_rgb(P_DEPTH=8)                    	    305(305)	     0(0)	  116(116)	    295(295)	     0(0)	     0(0)	     0(0)	
 +u_hdmi_result_ui:hdmi_result_ui                           	     480(54)	     0(0)	   325(63)	  2989(1396)	     0(0)	     0(0)	     0(0)	
  +u_hdmi_ui_timing:hdmi_timing_640x480                     	      23(23)	     0(0)	    18(18)	      41(41)	     0(0)	     0(0)	     0(0)	
  +u_ui_mode_latch:ui_mode_latch                            	        3(3)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
  +u_ui_shape_renderer:ui_shape_renderer                    	        0(0)	     0(0)	      6(6)	      21(21)	     0(0)	     0(0)	     0(0)	
  +u_ui_font_overlay:ui_font_overlay                        	      48(48)	     0(0)	    38(38)	  1118(1118)	     0(0)	     0(0)	     0(0)	
  +hdmi_top_inst:hdmi_top                                   	      352(0)	     0(0)	    200(0)	     413(27)	     0(0)	     0(0)	     0(0)	
   +inst_rx_byteclk_rst:reset(OUT_RST_ACTIVE="LOW",CYCLE=3) 	        3(3)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
   +vid_info_det_inst:vid_info_det                          	    159(159)	     0(0)	    54(54)	      49(49)	     0(0)	     0(0)	     0(0)	
   +color_bar_rgb_inst:color_bar_rgb(SYMBOL_WIDTH=8,SYMBOL_NUM=3,PAR_PIXEL_NUM=1,HFP=8'b01111000,HST=8'b010,HACT=12'b011110000000,HBP=8'b01011000,VFP=8'b010100,VST=8'b010,VACT=12'b011000000000,VBP=8'b010100,TEST_MODE=2'b01)	      55(55)	     0(0)	      5(5)	    112(112)	     0(0)	     0(0)	     0(0)	
   +dvi_encoder_m0:dvi_encoder                              	      135(0)	     0(0)	    141(0)	      225(0)	     0(0)	     0(0)	     0(0)	
    +encb:encode                                            	      47(47)	     0(0)	    47(47)	      75(75)	     0(0)	     0(0)	     0(0)	
    +encr:encode                                            	      43(43)	     0(0)	    47(47)	      75(75)	     0(0)	     0(0)	     0(0)	
    +encg:encode                                            	      45(45)	     0(0)	    47(47)	      75(75)	     0(0)	     0(0)	     0(0)	
