sep=\t
Module Resource Usage Distribution Estimates
Generated at: Jun 16, 2026 17:55:25

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	          FFs	      SRLs	       ADDs	         LUTs	    COMB4s	      RAMs	 DSP/MULTs
      +genblk1[0].u1_inst:efx_fifo_top_3eea493c411e46ef9fe73ece6fe11651(SYNC_CLK=1,MODE="FWFT",DEPTH=16,DATA_WIDTH=8,OPTIONAL_FLAGS=0,PROGRAMMABLE_FULL="NONE",PROG_FULL_ASSERT=16,PROG_FULL_NEGATE=16,PROGRAMMABLE_EMPTY="NONE",PROG_EMPTY_ASSERT=0,PROG_EMPTY_NEGATE=0)	       17(0)	     0(0)	      5(0)	       13(0)	     0(0)	     1(0)	     0(0)	
       +genblk2.efx_resetsync_a_rst:efx_resetsync_3eea493c411e46ef9fe73ece6fe11651(ACTIVE_LOW=0)	        2(0)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
        +active_high.efx_resetsync_active_high:efx_asyncreg_3eea493c411e46ef9fe73ece6fe11651(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
       +xefx_fifo_ram:efx_fifo_ram_3eea493c411e46ef9fe73ece6fe11651(WR_DEPTH=16,RD_DEPTH=16,WADDR_WIDTH=4,RADDR_WIDTH=4,OUTPUT_REG=0,RAM_MUX_RATIO=1)	        0(0)	     0(0)	      0(0)	        0(0)	     0(0)	     1(1)	     0(0)	
       +xefx_fifo_ctl:efx_fifo_ctl_3eea493c411e46ef9fe73ece6fe11651(MODE="FWFT",WR_DEPTH=16,WADDR_WIDTH=4,RADDR_WIDTH=4,ALMOST_FLAG=0,PROG_FULL_ASSERT=16,PROG_FULL_NEGATE=16,HANDSHAKE_FLAG=0,OVERFLOW_PROTECT=1,UNDERFLOW_PROTECT=1)	      15(15)	     0(0)	      5(5)	      13(13)	     0(0)	     0(0)	     0(0)	
      +genblk1[1].u1_inst:efx_fifo_top_3eea493c411e46ef9fe73ece6fe11651(SYNC_CLK=1,MODE="FWFT",DEPTH=16,DATA_WIDTH=8,OPTIONAL_FLAGS=0,PROGRAMMABLE_FULL="NONE",PROG_FULL_ASSERT=16,PROG_FULL_NEGATE=16,PROGRAMMABLE_EMPTY="NONE",PROG_EMPTY_ASSERT=0,PROG_EMPTY_NEGATE=0)	       17(0)	     0(0)	      5(0)	       13(0)	     0(0)	     1(0)	     0(0)	
       +genblk2.efx_resetsync_a_rst:efx_resetsync_3eea493c411e46ef9fe73ece6fe11651(ACTIVE_LOW=0)	        2(0)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
        +active_high.efx_resetsync_active_high:efx_asyncreg_3eea493c411e46ef9fe73ece6fe11651(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	        2(2)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
       +xefx_fifo_ram:efx_fifo_ram_3eea493c411e46ef9fe73ece6fe11651(WR_DEPTH=16,RD_DEPTH=16,WADDR_WIDTH=4,RADDR_WIDTH=4,OUTPUT_REG=0,RAM_MUX_RATIO=1)	        0(0)	     0(0)	      0(0)	        0(0)	     0(0)	     1(1)	     0(0)	
       +xefx_fifo_ctl:efx_fifo_ctl_3eea493c411e46ef9fe73ece6fe11651(MODE="FWFT",WR_DEPTH=16,WADDR_WIDTH=4,RADDR_WIDTH=4,ALMOST_FLAG=0,PROG_FULL_ASSERT=16,PROG_FULL_NEGATE=16,HANDSHAKE_FLAG=0,OVERFLOW_PROTECT=1,UNDERFLOW_PROTECT=1)	      15(15)	     0(0)	      5(5)	      13(13)	     0(0)	     0(0)	     0(0)	
